timestamp,voltage,current,power
253000.0,254.77,0.152,38.72504
254000.0,257.13,0.121,31.11273
255000.0,254.43,0.142,36.12906
256000.0,254.35,0.144,36.6264
257000.0,257.76,0.139,35.82864
258000.0,254.18,0.169,42.95642
259000.0,257.33,0.138,35.51154
260000.0,254.1,0.165,41.9265
261000.0,257.0,0.153,39.321
262000.0,254.03,0.165,41.91495
263000.0,257.21,0.156,40.12476
264000.0,254.09,0.166,42.17894
265000.0,257.06,0.153,39.33018
266000.0,254.6,0.164,41.7544
267000.0,257.01,0.15,38.5515
268000.0,255.2,0.165,42.108
269000.0,257.05,0.153,39.32865
270000.0,254.91,0.164,41.80524
271000.0,257.31,0.15,38.5965
272000.0,254.33,0.159,40.43847
273000.0,257.88,0.149,38.42412
274000.0,254.21,0.158,40.16518
275000.0,257.24,0.149,38.32876
276000.0,254.1,0.157,39.8937
277000.0,256.75,0.155,39.79625
278000.0,254.13,0.157,39.89841
279000.0,257.02,0.152,39.06704
280000.0,254.39,0.157,39.93923
281000.0,254.41,0.157,39.94237
282000.0,257.13,0.157,40.36941
283000.0,254.32,0.159,40.43688
284000.0,257.05,0.149,38.30045
285000.0,254.86,0.159,40.52274
286000.0,257.18,0.144,37.03392
287000.0,254.98,0.145,36.9721
288000.0,257.24,0.151,38.84324
289000.0,254.37,0.145,36.88365
290000.0,257.35,0.161,41.43335
291000.0,254.08,0.147,37.34976
292000.0,257.79,0.151,38.92629
293000.0,253.9,0.105,26.6595
294000.0,257.7,0.152,39.1704
295000.0,253.82,0.16,40.6112
296000.0,257.23,0.137,35.24051
297000.0,253.87,0.171,43.41177
298000.0,257.22,0.141,36.26802
299000.0,254.0,0.163,41.402
300000.0,257.07,0.15,38.5605
301000.0,254.17,0.168,42.70056
302000.0,255.65,0.15,38.3475
303000.0,254.13,0.168,42.69384
304000.0,255.3,0.143,36.5079
305000.0,254.04,0.162,41.15448
306000.0,255.2,0.153,39.0456
307000.0,254.01,0.14,35.5614
308000.0,255.5,0.136,34.748
309000.0,254.35,0.14,35.609
310000.0,256.04,0.128,32.77312
311000.0,255.09,0.171,43.62039
312000.0,255.53,0.145,37.05185
313000.0,254.99,0.17,43.3483
314000.0,255.33,0.14,35.7462
315000.0,254.33,0.171,43.49043
316000.0,255.13,0.146,37.24898
317000.0,254.14,0.174,44.22036
318000.0,255.18,0.113,28.83534
319000.0,254.26,0.169,42.96994
320000.0,255.38,0.138,35.24244
321000.0,254.35,0.138,35.1003
322000.0,255.34,0.127,32.42818
323000.0,254.45,0.15,38.1675
324000.0,255.36,0.129,32.94144
325000.0,254.48,0.15,38.172
326000.0,255.41,0.116,29.62756
327000.0,254.43,0.145,36.89235
328000.0,255.48,0.142,36.27816
329000.0,254.84,0.153,38.99052
330000.0,255.32,0.095,24.2554
331000.0,255.35,0.137,34.98295
332000.0,255.55,0.099,25.29945
333000.0,255.01,0.136,34.68136
334000.0,256.24,0.116,29.72384
335000.0,254.52,0.136,34.61472
336000.0,254.44,0.136,34.60384
337000.0,255.38,0.105,26.8149
338000.0,255.44,0.099,25.28856
339000.0,255.36,0.117,29.87712
340000.0,255.25,0.148,37.777
341000.0,255.42,0.118,30.13956
342000.0,255.4,0.127,32.4358
343000.0,255.44,0.158,40.35952
344000.0,255.24,0.159,40.58316
345000.0,255.28,0.143,36.50504
346000.0,255.22,0.162,41.34564
347000.0,255.34,0.146,37.27964
348000.0,255.4,0.159,40.6086
349000.0,256.49,0.153,39.24297
350000.0,257.3,0.149,38.3377
351000.0,257.2,0.149,38.3228
352000.0,256.56,0.149,38.22744
353000.0,256.52,0.134,34.37368
354000.0,256.47,0.157,40.26579
355000.0,256.39,0.142,36.40738
356000.0,256.32,0.151,38.70432
357000.0,256.06,0.149,38.15294
358000.0,256.24,0.137,35.10488
359000.0,256.4,0.141,36.1524
360000.0,256.39,0.131,33.58709
361000.0,256.84,0.134,34.41656
362000.0,256.52,0.133,34.11716
363000.0,256.17,0.119,30.48423
364000.0,256.26,0.119,30.49494
365000.0,256.32,0.117,29.98944
366000.0,256.35,0.114,29.2239
367000.0,256.35,0.103,26.40405
368000.0,256.46,0.11,28.2106
369000.0,256.46,0.097,24.87662
370000.0,256.53,0.134,34.37502
371000.0,256.46,0.111,28.46706
372000.0,256.42,0.138,35.38596
373000.0,256.95,0.106,27.2367
374000.0,257.43,0.105,27.03015
375000.0,256.72,0.116,29.77952
376000.0,256.21,0.115,29.46415
377000.0,256.38,0.107,27.43266
378000.0,256.47,0.093,23.85171
379000.0,256.46,0.101,25.90246
380000.0,256.5,0.096,24.624
381000.0,256.52,0.088,22.57376
382000.0,256.34,0.096,24.60864
383000.0,256.32,0.103,26.40096
384000.0,256.59,0.125,32.07375
385000.0,257.29,0.102,26.24358
386000.0,256.89,0.111,28.51479
387000.0,256.44,0.089,22.82316
388000.0,254.35,0.117,29.75895
389000.0,254.46,0.106,26.97276
390000.0,254.15,0.144,36.5976
391000.0,254.13,0.111,28.20843
392000.0,254.23,0.138,35.08374
393000.0,254.48,0.149,37.91752
394000.0,254.87,0.15,38.2305
395000.0,254.41,0.144,36.63504
396000.0,253.98,0.139,35.30322
397000.0,254.04,0.145,36.8358
398000.0,254.05,0.152,38.6156
399000.0,254.1,0.147,37.3527
400000.0,254.06,0.16,40.6496
401000.0,254.03,0.162,41.15286
402000.0,254.47,0.153,38.93391
403000.0,255.0,0.158,40.29
404000.0,254.64,0.148,37.68672
405000.0,254.2,0.162,41.1804
406000.0,254.22,0.151,38.38722
407000.0,254.17,0.16,40.6672
408000.0,254.21,0.153,38.89413
409000.0,254.22,0.147,37.37034
410000.0,254.16,0.143,36.34488
411000.0,254.19,0.136,34.56984
412000.0,254.28,0.126,32.03928
413000.0,254.27,0.146,37.12342
414000.0,254.24,0.145,36.8648
415000.0,254.26,0.161,40.93586
416000.0,254.5,0.158,40.211
417000.0,254.99,0.121,30.85379
418000.0,255.06,0.158,40.29948
419000.0,254.45,0.144,36.6408
420000.0,254.19,0.121,30.75699
421000.0,254.29,0.146,37.12634
422000.0,254.21,0.142,36.09782
423000.0,254.24,0.159,40.42416
